"","X","Year","LandAverageTemp","LandAverageTempUncertainty","Land Average Temperature (F)","Land Temp Relative Uncertainty"
"1",1,1850,7.90066666666667,0.876416666666667,46.22,11.09
"2",2,1851,8.17858333333333,0.881916666666667,46.72,10.78
"3",3,1852,8.10016666666667,0.91825,46.58,11.34
"4",4,1853,8.04183333333333,0.835,46.48,10.38
"5",5,1854,8.2105,0.825666666666667,46.78,10.06
"6",6,1855,8.11075,0.887166666666667,46.6,10.94
"7",7,1856,7.99591666666667,0.76075,46.39,9.51
"8",8,1857,7.75816666666667,0.751083333333333,45.96,9.68
"9",9,1858,8.10025,0.69975,46.58,8.64
"10",10,1859,8.252,0.674666666666667,46.85,8.18
"11",11,1860,7.96083333333333,0.626,46.33,7.86
"12",12,1861,7.8465,0.653416666666667,46.12,8.33
"13",13,1862,7.55858333333333,0.688916666666667,45.61,9.11
"14",14,1863,8.11183333333333,0.748,46.6,9.22
"15",15,1864,7.98358333333333,0.676416666666667,46.37,8.47
"16",16,1865,8.17783333333333,0.662166666666667,46.72,8.1
"17",17,1866,8.29216666666667,0.606,46.93,7.31
"18",18,1867,8.43633333333333,0.634833333333333,47.19,7.52
"19",19,1868,8.24791666666667,0.546333333333333,46.85,6.62
"20",20,1869,8.43208333333333,0.595666666666667,47.18,7.06
"21",21,1870,8.20133333333333,0.550166666666667,46.76,6.71
"22",22,1871,8.11508333333333,0.57025,46.61,7.03
"23",23,1872,8.19383333333333,0.589083333333333,46.75,7.19
"24",24,1873,8.35108333333333,0.5505,47.03,6.59
"25",25,1874,8.4335,0.517916666666667,47.18,6.14
"26",26,1875,7.85958333333333,0.4515,46.15,5.74
"27",27,1876,8.08008333333333,0.4335,46.54,5.37
"28",28,1877,8.53958333333333,0.455916666666667,47.37,5.34
"29",29,1878,8.82975,0.424916666666667,47.89,4.81
"30",30,1879,8.16583333333333,0.463416666666667,46.7,5.68
"31",31,1880,8.11875,0.414916666666667,46.61,5.11
"32",32,1881,8.27091666666667,0.419333333333333,46.89,5.07
"33",33,1882,8.12891666666667,0.379916666666667,46.63,4.67
"34",34,1883,7.97691666666667,0.370666666666667,46.36,4.65
"35",35,1884,7.77366666666667,0.39625,45.99,5.1
"36",36,1885,7.91966666666667,0.425,46.26,5.37
"37",37,1886,7.9545,0.386,46.32,4.85
"38",38,1887,7.91491666666667,0.392083333333333,46.25,4.95
"39",39,1888,8.0905,0.382416666666667,46.56,4.73
